用户ID,客户分类,区域,是否省会,7月销量,8月销量,9月销量,10月销量,11月销量
8203,A类,二线城市,否,17,10,18,8,13
59321,A类,三线城市,否,5,7,8,5,5
55942,A类,三线城市,否,21,13,31,20,21
3295,A类,二线城市,否,7,6,6,9,8
16546,A类,三线城市,否,8,9,13,17,5
28687,A类,三线城市,否,12,24,23,19,16
56670,A类,二线城市,否,15,9,23,18,0
936,A类,二线城市,否,16,17,13,20,15
4474,A类,二线城市,否,8,,11,9,7
57273,A类,二线城市,否,2,4,17,10,4
38286,A类,二线城市,否,20,14,24,21,14
50880,A类,二线城市,否,10,1,20,9,4
3273,A类,二线城市,否,14,9,14,16,6
5744,A类,三线城市,否,13,3,20,11,8
2583,A类,二线城市,否,14,26,13,15,8
4530,A类,二线城市,否,16,18,18,21,17
32709,A类,三线城市,否,6,16,16,19,15
44231,A类,三线城市,否,2,9,37,29,10
54474,A类,二线城市,否,25,17,17,20,33
1186,A类,二线城市,否,19,11,19,18,29
24244,A类,三线城市,否,30,12,1,12,3
2501,A类,一线城市,否,8,19,17,22,15
4518,A类,二线城市,否,29,21,20,13,8
25435,A类,三线城市,否,17,19,32,22,18
55159,A类,二线城市,否,48,51,42,37,39
7038,A类,二线城市,否,28,24,53,49,40
9281,A类,二线城市,否,16,8,12,4,18
6685,A类,二线城市,否,27,21,35,22,27
906,A类,二线城市,否,8,10,7,11,10
28662,A类,三线城市,否,31,17,24,6,17
3501,A类,二线城市,否,15,23,26,11,22
33135,A类,三线城市,否,23,7,19,1,16
12157,A类,二线城市,否,55,21,43,4,50
895,A类,二线城市,否,27,29,36,17,15
5458,A类,二线城市,否,47,24,20,28,16
30383,A类,二线城市,否,5,9,3,6,3
43945,A类,二线城市,否,,5,5,0,2
46668,A类,二线城市,否,81,48,45,46,36
1917,A类,二线城市,否,14,14,10,14,18
28767,A类,二线城市,否,13,4,15,20,24
15893,A类,二线城市,否,43,21,13,29,32
31651,A类,三线城市,否,18,16,16,9,11
17046,A类,三线城市,否,10,15,14,14,9
45271,A类,二线城市,否,48,58,60,63,90
55917,A类,三线城市,否,14,13,6,11,10
44539,A类,三线城市,否,25,18,21,24,5
58021,A类,三线城市,否,14,1,2,5,9
284,A类,二线城市,否,1,2,5,4,4
19380,A类,三线城市,否,8,11,9,11,4
2311,A类,二线城市,否,84,76,59,82,68
8173,A类,二线城市,否,3,13,4,4,2
1622,A类,二线城市,否,15,34,21,18,29
143,A类,二线城市,否,15,17,11,14,10
946,A类,二线城市,否,29,13,16,11,17
30902,A类,二线城市,否,3,5,6,6,7
57510,A类,二线城市,否,12,13,24,16,25
4343,A类,二线城市,否,24,29,40,16,15
56642,A类,二线城市,否,4,10,14,11,18
19375,A类,二线城市,否,14,11,7,9,7
1779,A类,一线城市,否,20,10,19,15,24
23664,A类,二线城市,否,4,,1,0,5
41608,A类,二线城市,否,21,18,25,2,1
8191,A类,二线城市,否,19,10,14,5,5
56040,A类,二线城市,否,59,14,3,4,4
10486,A类,一线城市,否,154,113,79,133,88
21082,A类,二线城市,否,7,4,,10,5
41879,A类,二线城市,否,23,18,15,17,5
3691,A类,一线城市,否,156,62,59,25,29
4830,A类,二线城市,否,44,31,38,41,31
57477,A类,二线城市,否,11,8,17,16,10
18187,A类,二线城市,否,15,11,6,6,12
346,A类,二线城市,否,9,3,10,12,4
27802,A类,二线城市,否,15,13,11,21,11
6492,A类,一线城市,否,11,4,17,11,10
1930,A类,三线城市,否,24,21,19,11,27
162,A类,二线城市,否,1,,,0,1
1211,A类,二线城市,否,16,21,16,14,18
10866,A类,二线城市,否,16,20,14,11,13
206,A类,二线城市,否,24,16,32,32,25
140,A类,二线城市,否,12,6,14,1,4
20728,A类,三线城市,否,11,12,9,17,8
41624,A类,二线城市,否,14,10,10,3,6
36797,A类,二线城市,否,5,13,9,4,11
1842,A类,二线城市,否,9,6,11,12,13
39988,A类,二线城市,否,14,25,20,12,16
8330,A类,三线城市,否,13,12,9,4,3
22359,A类,二线城市,否,8,19,16,11,20
51110,A类,二线城市,否,5,24,20,20,16
4369,A类,二线城市,否,33,33,15,18,33
19051,A类,二线城市,否,4,8,9,9,6
16169,A类,二线城市,否,14,15,11,4,11
13199,A类,二线城市,否,32,22,25,20,35
10384,A类,二线城市,否,16,8,15,25,27
1859,A类,二线城市,否,4,15,5,14,13
2307,A类,二线城市,否,25,19,18,13,20
42275,A类,三线城市,否,,,10,18,1
42996,A类,二线城市,否,15,22,17,14,16
29673,A类,二线城市,否,57,90,80,105,46
40736,A类,一线城市,否,8,3,2,0,0
5882,A类,二线城市,否,9,11,23,17,13
47067,A类,二线城市,否,14,3,6,4,4
60,A类,二线城市,否,25,13,13,26,18
34220,A类,一线城市,否,11,7,9,6,8
55101,A类,二线城市,否,7,4,1,0,0
37095,A类,二线城市,否,14,17,9,15,17
